"NCT","Brief_Title","Year","Phase","Sponsor_Class","Registry_Source","Status","Enrollment","Modality","Radiation","Strict_GBM_Only","Pediatric_title","NCO","NCO_strict","NCO_Designation","NCO_Instruments","HRQoL","HRQoL_Designation","HRQoL_Instruments"
"NCT04105374","Testing the Addition of an Anti-cancer Viral Gene Therapy, Toca 511/Toca FC, to the Usual Treatment (Temozolomide and Radiation Therapy) for Newly Diagnosed Glioblastoma",2020,"PHASE2/PHASE3","Academic/Investigator-Initiated","US","WITHDRAWN",,"Surgical; Radiation; Cytotoxic Chemotherapy; Tumor Treating Fields; Immunotherapy",1,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT03149003","A Study of DSP-7888 Dosing Emulsion in Combination With Bevacizumab in Patients With Recurrent or Progressive Glioblastoma Following Initial Therapy",2017,"PHASE3","Industry","US","COMPLETED",221,"Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00083447","Study of Therapy With TransMID™ Compared to Best Standard of Care in Patients With Glioblastoma Multiforme",2004,"PHASE3","Industry","US","WITHDRAWN",323,"Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT01402063","PPX and Concurrent Radiation for Newly Diagnosed Glioblastoma Without MGMT Methylation",2011,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",63,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07003542","A Phase 2 and Pharmacodynamic Study of Sitagliptin in Patients With Progressive Grade 4 Gliomas",2026,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",48,"Other / Investigational",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01480479","Phase III Study of Rindopepimut/GM-CSF in Patients With Newly Diagnosed Glioblastoma",2011,"PHASE3","Industry","US","COMPLETED",745,"Surgical; Cytotoxic Chemotherapy; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","eortc; quality of life"
"NCT01280552","A Study of ICT-107 Immunotherapy in Glioblastoma Multiforme (GBM)",2011,"PHASE2","Industry","US","COMPLETED",124,"Surgical; Radiation; Immunotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00004200","Prinomastat Plus Temozolomide Following Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme",1999,"PHASE2","Industry","US","COMPLETED",,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00075491","Neoadjuvant and Adjuvant Fenretinide Compared With Adjuvant Fenretinide Alone in Treating Patients Who Are Undergoing Surgical Resection For Recurrent Glioblastoma Multiforme",2003,"PHASE2","Government/Cooperative Group","US","TERMINATED",42,"Surgical",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00045968","Study of a Drug [DCVax®-L] to Treat Newly Diagnosed GBM Brain Cancer",2006,"PHASE3","Industry","US","UNKNOWN",348,"Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00076986","The PRECISE Trial: Study of IL13-PE38QQR Compared to GLIADEL Wafer in Patients With Recurrent Glioblastoma Multiforme",2004,"PHASE3","Industry","US","COMPLETED",300,"Surgical; Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01567202","Study of DC Vaccination Against Glioblastoma",2012,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",100,"Surgical; Radiation; Immunotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01805453","Angiotensin II Receptor Blockers, Steroids and Radiotherapy in Glioblastoma",2013,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",80,"Radiation",1,"Yes",FALSE,1,1,"Secondary","moca",1,"Secondary","eortc; quality of life"
"NCT00017147","S0001 RT and Carmustine With or Without O6BG in Patients With New Glioblastoma Multiforme or Gliosarcoma",2001,"PHASE3","Government/Cooperative Group","US","COMPLETED",183,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
