NCT,NCO,HRQoL,Phase,Sponsor_Class,Registration_Year,Radiation,Registry_Source,Strict_GBM_Only
NCT03393000,0,0,PHASE3,Industry,2018,1,US,Yes
NCT04829097,0,0,PHASE3,Academic/Investigator-Initiated,2020,1,US,Yes
NCT00761280,0,0,PHASE3,Industry,2008,0,US,No
NCT06991101,0,0,PHASE2,Academic/Investigator-Initiated,2025,1,US,Yes
NCT06835803,0,1,PHASE2,Academic/Investigator-Initiated,2025,1,US,Yes
NCT02685605,0,1,PHASE3,Academic/Investigator-Initiated,2016,1,US,Yes
NCT00813943,0,0,PHASE2,Industry,2009,1,US,Yes
NCT01450449,0,1,PHASE3,Government/Cooperative Group,2009,1,US,Yes
NCT07605364,0,0,PHASE2/PHASE3,Academic/Investigator-Initiated,2026,1,US,Yes
NCT01464177,0,1,PHASE2,Academic/Investigator-Initiated,2011,1,US,Yes
NCT03291977,0,0,PHASE3,Academic/Investigator-Initiated,2017,0,US,Yes
NCT00345163,0,0,PHASE2,Industry,2006,0,US,Yes
NCT01830101,0,0,PHASE3,Academic/Investigator-Initiated,2014,1,US,Yes
NCT00003916,0,0,PHASE3,Government/Cooperative Group,1999,1,US,No
NCT02394626,0,0,PHASE2,Academic/Investigator-Initiated,2015,0,US,Yes
NCT05271240,0,0,PHASE3,Academic/Investigator-Initiated,2022,1,US,Yes
NCT07138001,0,1,PHASE2,Industry,2025,0,US,Yes
NCT05611645,1,1,PHASE2,Academic/Investigator-Initiated,2022,1,US,Yes
NCT06325683,0,0,PHASE2,Government/Cooperative Group,2024,0,US,Yes
NCT03746288,0,0,PHASE2,Industry,2018,1,US,Yes
NCT01044225,0,0,PHASE2,Academic/Investigator-Initiated,2009,1,US,Yes
NCT00078988,0,0,PHASE3,Government/Cooperative Group,2004,0,US,No
NCT02761070,1,0,PHASE3,Academic/Investigator-Initiated,2016,0,US,Yes
NCT02796261,0,0,PHASE3,Industry,2016,1,US,No
EudraCT2009-018228-14,0,0,PHASE2,Academic/Investigator-Initiated,2011,0,International,Yes
EudraCT2020-003545-11,0,0,PHASE3,Government/Cooperative Group,2020,0,International,Yes
EudraCT2009-012186-63,0,0,PHASE2,Government/Cooperative Group,2009,0,International,Yes
EudraCT2008-001144-39,0,0,PHASE2,Academic/Investigator-Initiated,2008,1,International,Yes
EudraCT2008-001949-26,0,0,PHASE3,Government/Cooperative Group,2009,1,International,Yes
EudraCT2012-002272-14,0,0,PHASE2,Industry,2013,0,International,Yes
EudraCT2006-004635-30,0,0,PHASE2,Academic/Investigator-Initiated,2008,0,International,Yes
EudraCT2009-016813-11,0,0,PHASE2,Academic/Investigator-Initiated,2010,1,International,Yes
EudraCT2010-024107-27,0,0,PHASE3,Academic/Investigator-Initiated,2011,0,International,Yes
EudraCT2016-001600-40,0,1,PHASE2,Academic/Investigator-Initiated,2016,0,International,Yes
EudraCT2016-000167-16,0,1,PHASE2,Academic/Investigator-Initiated,2016,0,International,Yes
ISRCTN16052954,0,1,PHASE2,Academic/Investigator-Initiated,2020,1,International,Yes
ISRCTN84434175,0,0,PHASE2,Academic/Investigator-Initiated,2018,0,International,Yes
ISRCTN45209900,0,1,PHASE2/PHASE3,Academic/Investigator-Initiated,2010,1,International,No
